,funding_total_usd,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,is_successful,category
8456,50000.0,USA,NC,Raleigh,Durham,1,2013-09-01,2013-08-28,2013-08-28,0,Customer Service
8457,11200000.0,USA,CA,Los Angeles,Burbank,3,2010-01-01,2012-01-01,2013-06-12,0,Software
8460,12357948.0,GBR,T6,,,2,2007-04-01,2013-09-03,2015-05-13,0,Hospitality
8461,2000000.0,USA,CA,Los Angeles,Venice,1,2005-01-01,2011-04-19,2011-04-19,0,Advertising
8463,100000.0,CAN,ON,Toronto,Toronto,1,2011-07-01,2011-08-30,2011-08-30,0,Advertising
8464,1000000.0,USA,TX,Austin,Austin,1,2013-08-01,2013-08-01,2013-08-01,0,Advertising
8465,171420.0,ARE,3,Dubai,Dubai,1,2011-05-18,2011-05-30,2011-05-30,0,Internet Marketing
8468,3940261.0,,,,,2,2005-11-01,2009-12-28,2010-07-16,0,Apps
8469,385000.0,EST,1,Tallinn,Tallinn,4,2013-01-15,2012-09-01,2014-01-30,0,Digital Media
8470,220000.0,USA,NM,Albuquerque,Albuquerque,1,2007-07-01,2014-10-14,2014-10-14,0,Property Management
8471,639422.0,CHE,25,Zurich,Zürich,3,2015-03-01,2015-02-01,2015-08-24,0,Crowdfunding
8472,3404362.0,USA,NY,New York City,New York,1,2013-01-01,2015-08-10,2015-08-10,0,Technology
8473,44368583.0,USA,GA,Atlanta,Norcross,7,2000-01-01,2003-03-18,2015-01-30,0,Analytics
8474,1000000.0,GBR,H9,London,London,2,2014-01-01,2015-04-27,2015-07-07,0,E-Commerce
8476,931087.0,AUS,2,Sydney,Sydney,1,2014-09-01,2014-08-01,2014-08-01,0,Crowdfunding
8478,23000000.0,USA,CA,SF Bay Area,San Francisco,2,1986-01-01,2007-10-17,2010-12-01,0,Real Estate
8480,150000.0,USA,FL,Tampa,St. Petersburg,1,2009-11-12,2010-02-01,2010-02-01,0,Online Dating
8481,1053485.0,USA,IL,Chicago,Chicago,2,2012-01-01,2012-12-05,2015-04-15,0,Curated Web
8484,100000.0,ARE,3,Dubai,Dubai,1,2013-01-01,2015-07-01,2015-07-01,0,Apps
8486,11000000.0,USA,MA,Boston,Marlborough,2,2006-01-01,2011-09-19,2011-10-03,0,Clean Energy
